env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,39.0,43.0,82.0,250,,0.9960416666666667,,,,,
500,1,32.0,33.0,65.0,250,,0.9920833333333333,,,,,
750,2,78.0,75.0,153.0,250,,0.988125,,,,,
1000,3,60.0,55.0,115.0,250,0.9690872728824615,0.9841666666666666,,,,,
1250,4,54.0,56.0,110.0,250,,0.9802083333333333,,,,,
1500,5,67.0,64.0,131.0,250,0.4976538121700287,0.97625,,,,,
1750,6,64.0,68.0,132.0,250,,0.9722916666666667,,,,,
2000,7,61.0,67.0,128.0,250,0.30745330452919006,0.9683333333333334,,,,,
2250,8,59.0,58.0,117.0,250,,0.964375,,,,,
2500,9,46.0,46.0,92.0,250,0.5502838864922523,0.9604166666666667,,,,,
2750,10,66.0,66.0,132.0,250,,0.9564583333333333,,,,,
3000,11,85.0,84.0,169.0,250,0.36226584017276764,0.9525,,,,,
3250,12,55.0,52.0,107.0,250,,0.9485416666666666,,,,,
3500,13,72.0,71.0,143.0,250,0.5171781331300735,0.9445833333333333,,,,,
3750,14,57.0,52.0,109.0,250,,0.940625,,,,,
4000,15,59.0,59.0,118.0,250,0.45788420736789703,0.9366666666666666,,,,,
4250,16,71.0,69.0,140.0,250,,0.9327083333333334,,,,,
4500,17,71.0,70.0,141.0,250,0.3767504394054413,0.92875,,,,,
4750,18,65.0,63.0,128.0,250,,0.9247916666666667,,,,,
5000,19,87.0,91.0,178.0,250,0.2100200057029724,0.9208333333333334,,,,,
5250,20,43.0,47.0,90.0,250,,0.916875,,,,,
5500,21,55.0,51.0,106.0,250,0.16477924585342407,0.9129166666666667,,,,,
5750,22,69.0,65.0,134.0,250,,0.9089583333333333,,,,,
6000,23,69.0,67.0,136.0,250,0.23937635123729706,0.905,,,,,
6250,24,41.0,41.0,82.0,250,,0.9010416666666666,,,,,
6500,25,58.0,57.0,115.0,250,0.16755998879671097,0.8970833333333333,,,,,
6750,26,65.0,66.0,131.0,250,,0.893125,,,,,
7000,27,68.0,66.0,134.0,250,0.1486758589744568,0.8891666666666667,,,,,
7250,28,64.0,66.0,130.0,250,,0.8852083333333334,,,,,
7500,29,81.0,82.0,163.0,250,0.1800367385149002,0.88125,,,,,
7750,30,72.0,74.0,146.0,250,,0.8772916666666667,,,,,
8000,31,79.0,76.0,155.0,250,0.15602292865514755,0.8733333333333333,,,,,
8250,32,56.0,53.0,109.0,250,,0.869375,,,,,
8500,33,68.0,73.0,141.0,250,0.23410023003816605,0.8654166666666667,,,,,
8750,34,59.0,59.0,118.0,250,,0.8614583333333333,,,,,
9000,35,77.0,78.0,155.0,250,0.25718382000923157,0.8575,,,,,
9250,36,56.0,55.0,111.0,250,,0.8535416666666666,,,,,
9500,37,69.0,72.0,141.0,250,0.20218020677566528,0.8495833333333334,,,,,
9750,38,72.0,73.0,145.0,250,,0.8456250000000001,,,,,
10000,39,70.0,71.0,141.0,250,0.25256723165512085,0.8416666666666667,,,,,
10250,40,74.0,73.0,147.0,250,,0.8377083333333333,,,,,
10500,41,80.0,81.0,161.0,250,0.22248893976211548,0.83375,,,,,
10750,42,68.0,71.0,139.0,250,,0.8297916666666667,,,,,
11000,43,62.0,64.0,126.0,250,0.09055592864751816,0.8258333333333334,,,,,
11250,44,59.0,61.0,120.0,250,,0.821875,,,,,
11500,45,58.0,58.0,116.0,250,0.1825069859623909,0.8179166666666666,,,,,
11750,46,70.0,74.0,144.0,250,,0.8139583333333333,,,,,
12000,47,68.0,68.0,136.0,250,0.18304625153541565,0.81,,,,,
12250,48,79.0,78.0,157.0,250,,0.8060416666666667,,,,,
12500,49,76.0,75.0,151.0,250,0.21855409443378448,0.8020833333333334,,,,,
12750,50,60.0,60.0,120.0,250,,0.798125,,,,,
13000,51,88.0,89.0,177.0,250,0.23315493017435074,0.7941666666666667,,,,,
13250,52,73.0,80.0,153.0,250,,0.7902083333333334,,,,,
13500,53,94.0,97.0,191.0,250,0.0774138867855072,0.78625,,,,,
13750,54,82.0,80.0,162.0,250,,0.7822916666666667,,,,,
14000,55,90.0,91.0,181.0,250,0.18784652650356293,0.7783333333333333,,,,,
14250,56,87.0,86.0,173.0,250,,0.774375,,,,,
14500,57,59.0,62.0,121.0,250,0.12892121076583862,0.7704166666666666,,,,,
14750,58,72.0,70.0,142.0,250,,0.7664583333333334,,,,,
15000,59,66.0,65.0,131.0,250,0.19395305216312408,0.7625,,,,,
15250,60,69.0,71.0,140.0,250,,0.7585416666666667,,,,,
15500,61,65.0,66.0,131.0,250,0.15154485404491425,0.7545833333333334,,,,,
15750,62,73.0,76.0,149.0,250,,0.750625,,,,,
16000,63,77.0,79.0,156.0,250,0.18180139362812042,0.7466666666666667,,,,,
16250,64,55.0,58.0,113.0,250,,0.7427083333333333,,,,,
16500,65,82.0,82.0,164.0,250,0.1691848188638687,0.73875,,,,,
16750,66,56.0,57.0,113.0,250,,0.7347916666666667,,,,,
17000,67,67.0,65.0,132.0,250,0.24374211579561234,0.7308333333333333,,,,,
17250,68,95.0,97.0,192.0,250,,0.726875,,,,,
17500,69,62.0,62.0,124.0,250,0.1803404837846756,0.7229166666666667,,,,,
17750,70,96.0,99.0,195.0,250,,0.7189583333333334,,,,,
18000,71,51.0,55.0,106.0,250,0.20191141217947006,0.7150000000000001,,,,,
18250,72,100.0,98.0,198.0,250,,0.7110416666666667,,,,,
18500,73,76.0,82.0,158.0,250,0.19952359795570374,0.7070833333333333,,,,,
18750,74,87.0,87.0,174.0,250,,0.703125,,,,,
19000,75,70.0,72.0,142.0,250,0.20938167721033096,0.6991666666666667,,,,,
19250,76,87.0,90.0,177.0,250,,0.6952083333333333,,,,,
19500,77,83.0,89.0,172.0,250,0.15115248411893845,0.69125,,,,,
19750,78,89.0,90.0,179.0,250,,0.6872916666666666,,,,,
20000,79,66.0,67.0,133.0,250,0.1450718753039837,0.6833333333333333,,,,,
20250,80,80.0,79.0,159.0,250,,0.6793750000000001,,,,,
20500,81,103.0,100.0,203.0,250,0.1801816001534462,0.6754166666666667,,,,,
20750,82,64.0,63.0,127.0,250,,0.6714583333333334,,,,,
21000,83,77.0,72.0,149.0,250,0.22992054373025894,0.6675,,,,,
21250,84,97.0,98.0,195.0,250,,0.6635416666666667,,,,,
21500,85,79.0,74.0,153.0,250,0.19741114974021912,0.6595833333333334,,,,,
21750,86,100.0,101.0,201.0,250,,0.655625,,,,,
22000,87,84.0,83.0,167.0,250,0.2066561058163643,0.6516666666666667,,,,,
22250,88,98.0,95.0,193.0,250,,0.6477083333333333,,,,,
22500,89,64.0,68.0,132.0,250,0.1631234660744667,0.64375,,,,,
22750,90,86.0,85.0,171.0,250,,0.6397916666666668,,,,,
23000,91,90.0,86.0,176.0,250,0.21845930814743042,0.6358333333333333,,,,,
23250,92,97.0,95.0,192.0,250,,0.631875,,,,,
23500,93,93.0,93.0,186.0,250,0.22739215195178986,0.6279166666666667,,,,,
23750,94,78.0,81.0,159.0,250,,0.6239583333333334,,,,,
24000,95,57.0,54.0,111.0,250,0.2695278972387314,0.62,,,,,
24250,96,80.0,81.0,161.0,250,,0.6160416666666666,,,,,
24500,97,73.0,76.0,149.0,250,0.1954011246562004,0.6120833333333333,,,,,
24750,98,71.0,74.0,145.0,250,,0.608125,,,,,
25000,99,81.0,79.0,160.0,250,0.22334939241409302,0.6041666666666667,,,,,
25250,100,111.0,111.0,222.0,250,,0.6002083333333333,,,,,
25500,101,102.0,103.0,205.0,250,0.2077770158648491,0.59625,,,,,
25750,102,96.0,96.0,192.0,250,,0.5922916666666667,,,,,
26000,103,82.0,82.0,164.0,250,0.21397604048252106,0.5883333333333334,,,,,
26250,104,104.0,105.0,209.0,250,,0.5843750000000001,,,,,
26500,105,117.0,119.0,236.0,250,0.21389293670654297,0.5804166666666667,,,,,
26750,106,105.0,104.0,209.0,250,,0.5764583333333333,,,,,
27000,107,96.0,96.0,192.0,250,0.20070594549179077,0.5725,,,,,
