env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
4000,0,90.0,88.0,178.0,250,,,1.6026811599731445,,,,
4000,1,66.0,68.0,134.0,250,,,1.6026811599731445,,,,
4000,2,76.0,79.0,155.0,250,,,1.6026811599731445,,,,
4000,3,72.0,76.0,148.0,250,,,1.6026811599731445,,,,
4000,4,67.0,65.0,132.0,250,,,1.6026811599731445,,,,
4000,5,66.0,66.0,132.0,250,,,1.6026811599731445,,,,
4000,6,67.0,66.0,133.0,250,,,1.6026811599731445,,,,
4000,7,83.0,86.0,169.0,250,,,1.6026811599731445,,,,
4000,8,59.0,56.0,115.0,250,,,1.6026811599731445,,,,
4000,9,50.0,50.0,100.0,250,,,1.6026811599731445,,,,
4000,10,61.0,58.0,119.0,250,,,1.6026811599731445,,,,
4000,11,64.0,63.0,127.0,250,,,1.6026811599731445,,,,
4000,12,77.0,75.0,152.0,250,,,1.6026811599731445,,,,
4000,13,64.0,65.0,129.0,250,,,1.6026811599731445,,,,
4000,14,84.0,78.0,162.0,250,,,1.6026811599731445,,,,
4000,15,79.0,81.0,160.0,250,,,1.6026811599731445,,,,
8000,16,54.0,55.0,109.0,250,,,1.594452142715454,,,,
8000,17,51.0,51.0,102.0,250,,,1.594452142715454,,,,
8000,18,54.0,58.0,112.0,250,,,1.594452142715454,,,,
8000,19,75.0,73.0,148.0,250,,,1.594452142715454,,,,
8000,20,49.0,53.0,102.0,250,,,1.594452142715454,,,,
8000,21,73.0,73.0,146.0,250,,,1.594452142715454,,,,
8000,22,66.0,72.0,138.0,250,,,1.594452142715454,,,,
8000,23,66.0,62.0,128.0,250,,,1.594452142715454,,,,
8000,24,56.0,52.0,108.0,250,,,1.594452142715454,,,,
8000,25,61.0,67.0,128.0,250,,,1.594452142715454,,,,
8000,26,82.0,82.0,164.0,250,,,1.594452142715454,,,,
8000,27,68.0,67.0,135.0,250,,,1.594452142715454,,,,
8000,28,66.0,67.0,133.0,250,,,1.594452142715454,,,,
8000,29,94.0,92.0,186.0,250,,,1.594452142715454,,,,
8000,30,78.0,78.0,156.0,250,,,1.594452142715454,,,,
8000,31,57.0,52.0,109.0,250,,,1.594452142715454,,,,
12000,32,54.0,55.0,109.0,250,,,1.5871703624725342,,,,
12000,33,90.0,90.0,180.0,250,,,1.5871703624725342,,,,
12000,34,72.0,73.0,145.0,250,,,1.5871703624725342,,,,
12000,35,70.0,70.0,140.0,250,,,1.5871703624725342,,,,
12000,36,54.0,59.0,113.0,250,,,1.5871703624725342,,,,
12000,37,77.0,77.0,154.0,250,,,1.5871703624725342,,,,
12000,38,66.0,64.0,130.0,250,,,1.5871703624725342,,,,
12000,39,73.0,67.0,140.0,250,,,1.5871703624725342,,,,
12000,40,76.0,75.0,151.0,250,,,1.5871703624725342,,,,
12000,41,63.0,59.0,122.0,250,,,1.5871703624725342,,,,
12000,42,79.0,77.0,156.0,250,,,1.5871703624725342,,,,
12000,43,72.0,68.0,140.0,250,,,1.5871703624725342,,,,
12000,44,87.0,87.0,174.0,250,,,1.5871703624725342,,,,
12000,45,70.0,75.0,145.0,250,,,1.5871703624725342,,,,
