env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
250,0,-14.0,-69.0,-83.0,250,,0.9984166666666666,,,,,
500,1,4.0,-75.0,-71.0,250,,0.9968333333333333,,,,,
750,2,10.0,-66.0,-56.0,250,,0.99525,,,,,
1000,3,5.0,-50.0,-45.0,250,0.41685712337493896,0.9936666666666667,,,,,
1250,4,-2.0,-11.0,-13.0,250,,0.9920833333333333,,,,,
1500,5,-4.0,-33.0,-37.0,250,0.16122795641422272,0.9905,,,,,
1750,6,18.0,-49.0,-31.0,250,,0.9889166666666667,,,,,
2000,7,1.0,-60.0,-59.0,250,0.14234037697315216,0.9873333333333333,,,,,
2250,8,14.0,-70.0,-56.0,250,,0.98575,,,,,
2500,9,-1.0,-47.0,-48.0,250,0.13285574316978455,0.9841666666666666,,,,,
2750,10,11.0,-35.0,-24.0,250,,0.9825833333333334,,,,,
3000,11,-9.0,-35.0,-44.0,250,0.16119751892983913,0.981,,,,,
3250,12,10.0,-77.0,-67.0,250,,0.9794166666666667,,,,,
3500,13,21.0,-33.0,-12.0,250,0.08402217924594879,0.9778333333333333,,,,,
3750,14,-22.0,-50.0,-72.0,250,,0.97625,,,,,
4000,15,-20.0,-50.0,-70.0,250,0.1048259362578392,0.9746666666666667,,,,,
4250,16,20.0,-73.0,-53.0,250,,0.9730833333333333,,,,,
4500,17,-16.0,-70.0,-86.0,250,0.12036431208252907,0.9715,,,,,
4750,18,12.0,-51.0,-39.0,250,,0.9699166666666666,,,,,
5000,19,15.0,-14.0,1.0,250,0.09927532449364662,0.9683333333333334,,,,,
5250,20,-16.0,-53.0,-69.0,250,,0.96675,,,,,
5500,21,-9.0,-58.0,-67.0,250,0.07495678961277008,0.9651666666666666,,,,,
5750,22,3.0,-31.0,-28.0,250,,0.9635833333333333,,,,,
6000,23,12.0,-75.0,-63.0,250,0.10131795704364777,0.962,,,,,
6250,24,6.0,-35.0,-29.0,250,,0.9604166666666667,,,,,
6500,25,18.0,-35.0,-17.0,250,0.1068846695125103,0.9588333333333333,,,,,
6750,26,-2.0,-10.0,-12.0,250,,0.95725,,,,,
7000,27,14.0,-38.0,-24.0,250,0.10107755847275257,0.9556666666666667,,,,,
7250,28,-11.0,-44.0,-55.0,250,,0.9540833333333334,,,,,
7500,29,-5.0,-28.0,-33.0,250,0.024774434976279736,0.9525,,,,,
7750,30,6.0,-42.0,-36.0,250,,0.9509166666666666,,,,,
8000,31,11.0,-50.0,-39.0,250,0.06869537755846977,0.9493333333333334,,,,,
8250,32,-12.0,-52.0,-64.0,250,,0.94775,,,,,
8500,33,-36.0,-22.0,-58.0,250,0.027424339205026627,0.9461666666666667,,,,,
8750,34,4.0,-66.0,-62.0,250,,0.9445833333333333,,,,,
9000,35,1.0,-28.0,-27.0,250,0.0805642195045948,0.9430000000000001,,,,,
9250,36,9.0,-51.0,-42.0,250,,0.9414166666666667,,,,,
9500,37,-4.0,-26.0,-30.0,250,0.03168472554534674,0.9398333333333333,,,,,
9750,38,12.0,-57.0,-45.0,250,,0.93825,,,,,
10000,39,21.0,3.0,24.0,250,0.06530282646417618,0.9366666666666666,,,,,
10250,40,12.0,-58.0,-46.0,250,,0.9350833333333334,,,,,
10500,41,25.0,-47.0,-22.0,250,0.10596945881843567,0.9335,,,,,
10750,42,-5.0,-47.0,-52.0,250,,0.9319166666666667,,,,,
11000,43,3.0,-19.0,-16.0,250,0.03637937270104885,0.9303333333333333,,,,,
11250,44,11.0,-46.0,-35.0,250,,0.92875,,,,,
11500,45,-1.0,-31.0,-32.0,250,0.03190509136766195,0.9271666666666667,,,,,
