env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
2000,0,15.0,-61.0,-46.0,250,,,1.6056246757507324,,,,
2000,1,6.0,-96.0,-90.0,250,,,1.6056246757507324,,,,
2000,2,22.0,-42.0,-20.0,250,,,1.6056246757507324,,,,
2000,3,27.0,-24.0,3.0,250,,,1.6056246757507324,,,,
2000,4,-11.0,-58.0,-69.0,250,,,1.6056246757507324,,,,
2000,5,33.0,-24.0,9.0,250,,,1.6056246757507324,,,,
2000,6,6.0,-65.0,-59.0,250,,,1.6056246757507324,,,,
2000,7,-13.0,-39.0,-52.0,250,,,1.6056246757507324,,,,
4000,8,14.0,-59.0,-45.0,250,,,1.5857328176498413,,,,
4000,9,-23.0,-31.0,-54.0,250,,,1.5857328176498413,,,,
4000,10,-16.0,-59.0,-75.0,250,,,1.5857328176498413,,,,
4000,11,11.0,-64.0,-53.0,250,,,1.5857328176498413,,,,
4000,12,-5.0,-53.0,-58.0,250,,,1.5857328176498413,,,,
4000,13,10.0,-62.0,-52.0,250,,,1.5857328176498413,,,,
4000,14,0.0,-44.0,-44.0,250,,,1.5857328176498413,,,,
4000,15,14.0,-65.0,-51.0,250,,,1.5857328176498413,,,,
6000,16,17.0,6.0,23.0,250,,,1.582859754562378,,,,
6000,17,-12.0,-4.0,-16.0,250,,,1.582859754562378,,,,
6000,18,2.0,-30.0,-28.0,250,,,1.582859754562378,,,,
6000,19,0.0,-42.0,-42.0,250,,,1.582859754562378,,,,
6000,20,-13.0,-33.0,-46.0,250,,,1.582859754562378,,,,
6000,21,17.0,24.0,41.0,250,,,1.582859754562378,,,,
6000,22,-47.0,-26.0,-73.0,250,,,1.582859754562378,,,,
6000,23,-31.0,-38.0,-69.0,250,,,1.582859754562378,,,,
8000,24,-4.0,-17.0,-21.0,250,,,1.5650215148925781,,,,
8000,25,-1.0,-16.0,-17.0,250,,,1.5650215148925781,,,,
8000,26,-24.0,-27.0,-51.0,250,,,1.5650215148925781,,,,
8000,27,8.0,-31.0,-23.0,250,,,1.5650215148925781,,,,
8000,28,3.0,-24.0,-21.0,250,,,1.5650215148925781,,,,
8000,29,6.0,-13.0,-7.0,250,,,1.5650215148925781,,,,
8000,30,1.0,-36.0,-35.0,250,,,1.5650215148925781,,,,
8000,31,-1.0,-40.0,-41.0,250,,,1.5650215148925781,,,,
10000,32,-36.0,-16.0,-52.0,250,,,1.529914379119873,,,,
10000,33,-57.0,6.0,-51.0,250,,,1.529914379119873,,,,
10000,34,15.0,-12.0,3.0,250,,,1.529914379119873,,,,
10000,35,-35.0,-25.0,-60.0,250,,,1.529914379119873,,,,
10000,36,-6.0,2.0,-4.0,250,,,1.529914379119873,,,,
10000,37,11.0,-12.0,-1.0,250,,,1.529914379119873,,,,
10000,38,2.0,-20.0,-18.0,250,,,1.529914379119873,,,,
10000,39,2.0,1.0,3.0,250,,,1.529914379119873,,,,
12000,40,-4.0,-11.0,-15.0,250,,,1.4934953451156616,,,,
12000,41,-8.0,12.0,4.0,250,,,1.4934953451156616,,,,
12000,42,2.0,4.0,6.0,250,,,1.4934953451156616,,,,
12000,43,-6.0,22.0,16.0,250,,,1.4934953451156616,,,,
12000,44,-18.0,-23.0,-41.0,250,,,1.4934953451156616,,,,
12000,45,-14.0,17.0,3.0,250,,,1.4934953451156616,,,,
12000,46,19.0,-11.0,8.0,250,,,1.4934953451156616,,,,
12000,47,14.0,5.0,19.0,250,,,1.4934953451156616,,,,
14000,48,-2.0,-6.0,-8.0,250,,,1.4717774391174316,,,,
14000,49,-7.0,0.0,-7.0,250,,,1.4717774391174316,,,,
14000,50,-16.0,14.0,-2.0,250,,,1.4717774391174316,,,,
14000,51,-1.0,2.0,1.0,250,,,1.4717774391174316,,,,
14000,52,11.0,6.0,17.0,250,,,1.4717774391174316,,,,
14000,53,4.0,-5.0,-1.0,250,,,1.4717774391174316,,,,
14000,54,-18.0,-20.0,-38.0,250,,,1.4717774391174316,,,,
14000,55,17.0,31.0,48.0,250,,,1.4717774391174316,,,,
16000,56,10.0,13.0,23.0,250,,,1.4964489936828613,,,,
16000,57,-11.0,-15.0,-26.0,250,,,1.4964489936828613,,,,
16000,58,9.0,28.0,37.0,250,,,1.4964489936828613,,,,
16000,59,-10.0,12.0,2.0,250,,,1.4964489936828613,,,,
16000,60,-20.0,-15.0,-35.0,250,,,1.4964489936828613,,,,
16000,61,26.0,9.0,35.0,250,,,1.4964489936828613,,,,
16000,62,-20.0,-8.0,-28.0,250,,,1.4964489936828613,,,,
16000,63,0.0,2.0,2.0,250,,,1.4964489936828613,,,,
18000,64,1.0,-14.0,-13.0,250,,,1.4258091449737549,,,,
18000,65,-5.0,-20.0,-25.0,250,,,1.4258091449737549,,,,
18000,66,-1.0,21.0,20.0,250,,,1.4258091449737549,,,,
18000,67,-15.0,12.0,-3.0,250,,,1.4258091449737549,,,,
18000,68,-10.0,-14.0,-24.0,250,,,1.4258091449737549,,,,
18000,69,-34.0,-17.0,-51.0,250,,,1.4258091449737549,,,,
18000,70,23.0,24.0,47.0,250,,,1.4258091449737549,,,,
18000,71,5.0,12.0,17.0,250,,,1.4258091449737549,,,,
20000,72,-3.0,7.0,4.0,250,,,1.4602961540222168,,,,
20000,73,2.0,12.0,14.0,250,,,1.4602961540222168,,,,
20000,74,-19.0,-11.0,-30.0,250,,,1.4602961540222168,,,,
20000,75,20.0,29.0,49.0,250,,,1.4602961540222168,,,,
20000,76,-4.0,-3.0,-7.0,250,,,1.4602961540222168,,,,
20000,77,-5.0,-13.0,-18.0,250,,,1.4602961540222168,,,,
20000,78,-27.0,2.0,-25.0,250,,,1.4602961540222168,,,,
20000,79,7.0,6.0,13.0,250,,,1.4602961540222168,,,,
22000,80,32.0,21.0,53.0,250,,,1.4450993537902832,,,,
22000,81,1.0,1.0,2.0,250,,,1.4450993537902832,,,,
22000,82,3.0,3.0,6.0,250,,,1.4450993537902832,,,,
22000,83,2.0,-8.0,-6.0,250,,,1.4450993537902832,,,,
22000,84,19.0,9.0,28.0,250,,,1.4450993537902832,,,,
22000,85,2.0,18.0,20.0,250,,,1.4450993537902832,,,,
22000,86,-15.0,5.0,-10.0,250,,,1.4450993537902832,,,,
22000,87,-22.0,-2.0,-24.0,250,,,1.4450993537902832,,,,
24000,88,-22.0,-12.0,-34.0,250,,,1.463012933731079,,,,
24000,89,-5.0,-5.0,-10.0,250,,,1.463012933731079,,,,
24000,90,-2.0,22.0,20.0,250,,,1.463012933731079,,,,
24000,91,-4.0,28.0,24.0,250,,,1.463012933731079,,,,
24000,92,-1.0,11.0,10.0,250,,,1.463012933731079,,,,
24000,93,-20.0,8.0,-12.0,250,,,1.463012933731079,,,,
24000,94,-16.0,13.0,-3.0,250,,,1.463012933731079,,,,
24000,95,-4.0,7.0,3.0,250,,,1.463012933731079,,,,
26000,96,9.0,7.0,16.0,250,,,1.4080380201339722,,,,
26000,97,38.0,9.0,47.0,250,,,1.4080380201339722,,,,
