env_steps,episode,return_0,return_1,joint_return,length,loss,epsilon,entropy,approx_kl,clip_fraction,actor_loss,critic_loss
2000,0,-10.0,-47.0,-57.0,250,,,1.6068041324615479,,,,
2000,1,14.0,-39.0,-25.0,250,,,1.6068041324615479,,,,
2000,2,32.0,-26.0,6.0,250,,,1.6068041324615479,,,,
2000,3,12.0,-56.0,-44.0,250,,,1.6068041324615479,,,,
2000,4,-9.0,-26.0,-35.0,250,,,1.6068041324615479,,,,
2000,5,-26.0,-76.0,-102.0,250,,,1.6068041324615479,,,,
2000,6,0.0,-70.0,-70.0,250,,,1.6068041324615479,,,,
2000,7,1.0,-62.0,-61.0,250,,,1.6068041324615479,,,,
4000,8,-32.0,-5.0,-37.0,250,,,1.5952563285827637,,,,
4000,9,-15.0,-66.0,-81.0,250,,,1.5952563285827637,,,,
4000,10,12.0,-61.0,-49.0,250,,,1.5952563285827637,,,,
4000,11,-6.0,-69.0,-75.0,250,,,1.5952563285827637,,,,
4000,12,-11.0,-47.0,-58.0,250,,,1.5952563285827637,,,,
4000,13,6.0,-40.0,-34.0,250,,,1.5952563285827637,,,,
4000,14,-22.0,-58.0,-80.0,250,,,1.5952563285827637,,,,
4000,15,16.0,-53.0,-37.0,250,,,1.5952563285827637,,,,
6000,16,1.0,-47.0,-46.0,250,,,1.584282398223877,,,,
6000,17,-30.0,1.0,-29.0,250,,,1.584282398223877,,,,
6000,18,-2.0,-28.0,-30.0,250,,,1.584282398223877,,,,
6000,19,4.0,-59.0,-55.0,250,,,1.584282398223877,,,,
6000,20,24.0,-25.0,-1.0,250,,,1.584282398223877,,,,
6000,21,10.0,-33.0,-23.0,250,,,1.584282398223877,,,,
6000,22,19.0,-35.0,-16.0,250,,,1.584282398223877,,,,
6000,23,8.0,-60.0,-52.0,250,,,1.584282398223877,,,,
8000,24,-7.0,-21.0,-28.0,250,,,1.5715047121047974,,,,
8000,25,-14.0,-26.0,-40.0,250,,,1.5715047121047974,,,,
8000,26,-4.0,-38.0,-42.0,250,,,1.5715047121047974,,,,
8000,27,14.0,-53.0,-39.0,250,,,1.5715047121047974,,,,
8000,28,-6.0,-24.0,-30.0,250,,,1.5715047121047974,,,,
8000,29,10.0,-16.0,-6.0,250,,,1.5715047121047974,,,,
8000,30,31.0,-20.0,11.0,250,,,1.5715047121047974,,,,
8000,31,-9.0,-38.0,-47.0,250,,,1.5715047121047974,,,,
10000,32,-30.0,-12.0,-42.0,250,,,1.541471004486084,,,,
10000,33,9.0,-25.0,-16.0,250,,,1.541471004486084,,,,
10000,34,2.0,-17.0,-15.0,250,,,1.541471004486084,,,,
10000,35,8.0,-21.0,-13.0,250,,,1.541471004486084,,,,
10000,36,18.0,-21.0,-3.0,250,,,1.541471004486084,,,,
10000,37,-2.0,-37.0,-39.0,250,,,1.541471004486084,,,,
10000,38,1.0,-53.0,-52.0,250,,,1.541471004486084,,,,
10000,39,29.0,-19.0,10.0,250,,,1.541471004486084,,,,
12000,40,2.0,-13.0,-11.0,250,,,1.5418016910552979,,,,
12000,41,-7.0,-45.0,-52.0,250,,,1.5418016910552979,,,,
12000,42,8.0,-46.0,-38.0,250,,,1.5418016910552979,,,,
12000,43,-29.0,-36.0,-65.0,250,,,1.5418016910552979,,,,
12000,44,26.0,10.0,36.0,250,,,1.5418016910552979,,,,
12000,45,-7.0,-18.0,-25.0,250,,,1.5418016910552979,,,,
12000,46,42.0,25.0,67.0,250,,,1.5418016910552979,,,,
12000,47,7.0,-40.0,-33.0,250,,,1.5418016910552979,,,,
14000,48,5.0,7.0,12.0,250,,,1.5266551971435547,,,,
14000,49,14.0,-35.0,-21.0,250,,,1.5266551971435547,,,,
14000,50,8.0,-17.0,-9.0,250,,,1.5266551971435547,,,,
14000,51,2.0,-19.0,-17.0,250,,,1.5266551971435547,,,,
14000,52,59.0,45.0,104.0,250,,,1.5266551971435547,,,,
14000,53,27.0,15.0,42.0,250,,,1.5266551971435547,,,,
14000,54,28.0,11.0,39.0,250,,,1.5266551971435547,,,,
14000,55,-20.0,-37.0,-57.0,250,,,1.5266551971435547,,,,
